City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Punta Arenas,CL,-53.15,-70.9167,57.31,58.0,0.0,4.61,clear sky
Tocopilla,CL,-22.092,-70.1979,70.77,79.0,31.0,9.89,scattered clouds
Kodiak,US,57.79,-152.4072,38.71,93.0,100.0,24.16,moderate rain
Rikitea,PF,-23.1203,-134.9692,78.82,75.0,100.0,7.94,overcast clouds
Madimba,TZ,-10.4,40.3333,74.77,91.0,100.0,6.53,light rain
Dashitou,CN,43.3067,128.5114,4.01,71.0,13.0,1.14,few clouds
Mackenzie,CA,55.2999,-123.1698,28.62,100.0,20.0,3.44,few clouds
Lethbridge,CA,49.7,-112.8186,43.72,56.0,75.0,24.16,broken clouds
Busselton,AU,-33.65,115.3333,98.04,27.0,1.0,5.53,clear sky
Kavaratti,IN,10.5669,72.642,80.29,71.0,95.0,10.36,overcast clouds
Cabo San Lucas,MX,22.8909,-109.9124,72.52,63.0,75.0,0.0,broken clouds
Provideniya,RU,64.3833,-173.3,1.51,66.0,0.0,11.18,clear sky
Cayenne,GF,4.9333,-52.3333,75.24,91.0,100.0,5.01,mist
Ponta Do Sol,PT,32.6667,-17.1,65.03,81.0,88.0,15.43,overcast clouds
Luanda,AO,-8.8368,13.2343,73.4,88.0,20.0,8.05,few clouds
Airai,TL,-8.9266,125.4092,61.47,98.0,100.0,3.74,overcast clouds
Mahanoro,MG,-19.9,48.8,72.48,87.0,100.0,9.17,overcast clouds
Vaini,TO,-21.2,-175.2,81.81,78.0,54.0,17.02,broken clouds
Khatanga,RU,71.9667,102.5,-2.24,93.0,100.0,9.8,overcast clouds
Qaanaaq,GL,77.484,-69.3632,15.1,84.0,100.0,4.25,overcast clouds
Port Alfred,ZA,-33.5906,26.891,72.55,84.0,98.0,16.71,overcast clouds
Hilo,US,19.7297,-155.09,78.8,80.0,100.0,4.61,overcast clouds
Albany,US,42.6001,-73.9662,14.09,63.0,26.0,13.0,scattered clouds
Kimbe,PG,-5.5502,150.1429,82.94,78.0,100.0,3.65,light rain
Hobart,AU,-42.8794,147.3294,83.26,40.0,20.0,1.99,few clouds
Saint-Philippe,RE,-21.3585,55.7679,76.59,83.0,55.0,9.17,broken clouds
Hermanus,ZA,-34.4187,19.2345,60.91,87.0,2.0,10.0,clear sky
Souillac,MU,-20.5167,57.5167,81.36,94.0,75.0,12.66,broken clouds
Maniitsoq,GL,65.4167,-52.9,13.68,75.0,100.0,9.93,overcast clouds
Cape Town,ZA,-33.9258,18.4232,64.11,82.0,0.0,4.0,clear sky
Butaritari,KI,3.0707,172.7902,81.86,73.0,100.0,17.09,overcast clouds
Arroio Grande,BR,-32.2375,-53.0869,74.32,96.0,36.0,8.01,scattered clouds
Tagusao,PH,9.1924,117.8141,82.38,71.0,36.0,5.64,scattered clouds
Morong,PH,14.5115,121.2393,82.9,69.0,73.0,7.96,broken clouds
Longyearbyen,SJ,78.2186,15.6401,10.24,67.0,42.0,6.91,scattered clouds
Jiangkou,CN,25.4872,119.1986,51.69,74.0,96.0,14.79,overcast clouds
Bredasdorp,ZA,-34.5322,20.0403,58.28,87.0,0.0,1.14,clear sky
Carnarvon,AU,-24.8667,113.6333,105.87,14.0,0.0,19.57,clear sky
Praia Da Vitoria,PT,38.7333,-27.0667,61.75,94.0,20.0,17.05,few clouds
Mataura,NZ,-46.1927,168.8643,58.48,57.0,92.0,8.75,overcast clouds
Maraa,BR,-1.8333,-65.3667,73.45,98.0,100.0,2.13,light rain
Ribeira Brava,PT,32.65,-17.0667,65.03,83.0,86.0,16.13,overcast clouds
Upernavik,GL,72.7868,-56.1549,-2.61,94.0,100.0,11.45,overcast clouds
Chulman,RU,56.8479,124.9104,-21.68,99.0,44.0,0.96,scattered clouds
Kerema,PG,-7.9631,145.7785,84.29,67.0,93.0,6.17,overcast clouds
Ushuaia,AR,-54.8,-68.3,55.06,62.0,0.0,5.75,clear sky
Talnakh,RU,69.4865,88.3972,10.51,95.0,100.0,13.24,snow
Toora-Khem,RU,52.4675,96.11,11.61,97.0,100.0,2.3,light snow
Sorland,NO,67.667,12.6934,32.92,55.0,100.0,14.25,overcast clouds
New Norfolk,AU,-42.7826,147.0587,82.9,27.0,10.0,3.0,clear sky
Tasiilaq,GL,65.6145,-37.6368,37.56,96.0,100.0,13.71,light rain
Puerto Ayora,EC,-0.7393,-90.3518,74.55,94.0,89.0,1.99,overcast clouds
Avarua,CK,-21.2078,-159.775,78.85,94.0,75.0,9.22,broken clouds
Lensk,RU,60.7253,114.9278,9.36,94.0,100.0,5.95,overcast clouds
Lavrentiya,RU,65.5833,-171.0,-17.36,93.0,5.0,11.65,clear sky
La Ronge,CA,55.1001,-105.2842,8.85,78.0,100.0,8.05,overcast clouds
Hay River,CA,60.8156,-115.7999,-7.62,77.0,100.0,24.16,light snow
Norman Wells,CA,65.282,-126.8329,-18.36,69.0,75.0,13.8,light snow
Jamestown,US,42.097,-79.2353,12.72,85.0,100.0,4.61,mist
Never,FR,46.9896,3.159,33.55,93.0,9.0,7.83,clear sky
Bethel,US,41.3712,-73.414,25.16,62.0,0.0,1.99,clear sky
Klaksvik,FO,62.2266,-6.589,45.52,85.0,100.0,24.87,overcast clouds
Bubaque,GW,11.2833,-15.8333,78.44,70.0,67.0,9.15,broken clouds
High Level,CA,58.5169,-117.136,3.31,85.0,100.0,11.5,light snow
Mehamn,NO,71.0357,27.8492,26.47,76.0,100.0,22.84,snow
Tiksi,RU,71.6872,128.8694,-14.58,96.0,64.0,10.54,broken clouds
Margate,GB,51.3813,1.3862,36.7,82.0,36.0,18.61,scattered clouds
San Cristobal,VE,7.7669,-72.225,73.58,79.0,28.0,1.77,scattered clouds
Bud,US,39.447,-86.1758,23.02,64.0,74.0,7.4,broken clouds
Kapaa,US,22.0752,-159.319,79.12,71.0,75.0,1.01,broken clouds
Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,27.19,54.0,75.0,4.47,broken clouds
Pietersburg,ZA,-23.9045,29.4688,48.6,93.0,0.0,3.91,clear sky
Grand Gaube,MU,-20.0064,57.6608,81.37,86.0,31.0,5.01,scattered clouds
Clyde River,CA,70.4692,-68.5914,-1.97,84.0,96.0,4.61,light snow
Mingaora,PK,34.7758,72.3625,41.88,50.0,83.0,5.28,broken clouds
Georgetown,MY,5.4112,100.3354,84.13,74.0,20.0,9.22,haze
Geraldton,AU,-28.7667,114.6,104.41,8.0,0.0,21.85,clear sky
Zhuhai,CN,22.2769,113.5678,68.11,72.0,20.0,8.05,few clouds
Harper,LR,4.375,-7.7169,77.41,78.0,4.0,0.81,clear sky
Noyabrsk,RU,63.1994,75.4507,11.89,92.0,77.0,14.56,broken clouds
Ribeira Grande,PT,38.5167,-28.7,63.0,82.0,40.0,9.22,scattered clouds
Ostrovnoy,RU,68.0531,39.5131,9.54,93.0,94.0,5.84,overcast clouds
Bontang,ID,0.1333,117.5,75.27,92.0,100.0,11.3,overcast clouds
Sambava,MG,-14.2667,50.1667,75.33,90.0,100.0,3.65,overcast clouds
Lichtenburg,ZA,-26.152,26.1597,61.74,65.0,1.0,8.37,clear sky
Suntar,RU,62.1444,117.6319,7.34,96.0,100.0,5.68,overcast clouds
Creel,MX,27.75,-107.6333,36.84,57.0,1.0,2.89,clear sky
Sinnamary,GF,5.3833,-52.95,76.8,90.0,66.0,11.81,broken clouds
Ust-Nera,RU,64.5667,143.2,-31.65,95.0,71.0,5.14,broken clouds
Goderich,CA,43.7501,-81.7165,15.91,85.0,97.0,5.75,snow
Yellowknife,CA,62.456,-114.3525,-8.88,70.0,100.0,17.27,light snow
Bandarbeyla,SO,9.4942,50.8122,75.16,76.0,57.0,17.56,broken clouds
Gushikawa,JP,26.3544,127.8686,65.43,52.0,0.0,11.5,clear sky
Erenhot,CN,43.6475,111.9767,13.53,92.0,100.0,6.29,light snow
Hof,DE,50.3167,11.9167,26.26,81.0,75.0,5.75,broken clouds
Barrow,US,71.2906,-156.7887,-21.98,76.0,20.0,3.44,haze
Tuktoyaktuk,CA,69.4541,-133.0374,-20.2,76.0,75.0,21.85,light snow
Iqaluit,CA,63.7506,-68.5145,-27.31,74.0,20.0,4.0,few clouds
Menomonie,US,44.8755,-91.9193,-3.39,71.0,8.0,0.0,clear sky
Saint-Georges,GD,12.0564,-61.7485,78.48,73.0,20.0,11.5,few clouds
Atar,MR,20.5169,-13.0499,71.24,15.0,100.0,9.08,overcast clouds
Atuona,PF,-9.8,-139.0333,78.89,79.0,41.0,23.49,scattered clouds
Ahipara,NZ,-35.1667,173.1667,71.13,52.0,26.0,13.78,scattered clouds
Husavik,IS,66.0449,-17.3389,53.51,78.0,100.0,19.69,overcast clouds
Constitucion,CL,-35.3333,-72.4167,53.6,81.0,0.0,9.31,clear sky
Lubao,PH,14.9167,120.55,86.07,65.0,35.0,9.42,scattered clouds
Lorengau,PG,-2.0226,147.2712,82.9,79.0,95.0,7.81,overcast clouds
Dikson,RU,73.5069,80.5464,5.81,94.0,100.0,13.69,overcast clouds
Moron,AR,-34.6534,-58.6198,80.02,91.0,50.0,5.01,scattered clouds
Castro,BR,-24.7911,-50.0119,65.1,90.0,88.0,2.46,overcast clouds
Ndele,CF,8.4109,20.6473,67.98,25.0,20.0,6.98,few clouds
Bluff,NZ,-46.6,168.3333,58.8,76.0,100.0,18.57,overcast clouds
Verkhoyansk,RU,67.5447,133.385,-38.13,96.0,42.0,0.58,scattered clouds
East London,ZA,-33.0153,27.9116,71.42,83.0,98.0,17.58,overcast clouds
Sandwick,GB,60.0,-1.25,46.22,87.0,100.0,25.32,overcast clouds
Chara,RU,56.9064,118.2631,-11.18,71.0,4.0,0.69,clear sky
Zhigansk,RU,66.7697,123.3711,-15.25,97.0,100.0,16.55,overcast clouds
Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,82.09,58.0,37.0,6.85,scattered clouds
Spring Hill,US,28.4769,-82.5255,66.81,63.0,0.0,4.61,clear sky
Ewa Beach,US,21.3156,-158.0072,80.55,66.0,0.0,8.01,clear sky
Ambon,ID,-3.6954,128.1814,87.94,70.0,40.0,5.75,scattered clouds
Saskylakh,RU,71.9167,114.0833,-20.76,93.0,59.0,7.65,broken clouds
Hasilpur,PK,29.7122,72.5553,51.84,75.0,0.0,6.85,clear sky
Kitami,JP,43.8031,143.8908,27.12,92.0,100.0,16.11,light snow
Port Elizabeth,ZA,-33.918,25.5701,72.1,83.0,100.0,18.41,overcast clouds
Kyabe,TD,9.4515,18.9449,70.34,29.0,25.0,5.12,scattered clouds
Kurchum,KZ,48.5722,83.6542,-5.62,99.0,89.0,1.86,overcast clouds
Guarapari,BR,-20.6667,-40.4975,79.9,85.0,32.0,5.41,scattered clouds
Katsuura,JP,35.1333,140.3,46.42,41.0,84.0,22.24,broken clouds
Sur,OM,22.5667,59.5289,71.56,77.0,2.0,6.11,clear sky
Neepawa,CA,50.2289,-99.4664,-1.19,80.0,85.0,15.23,overcast clouds
Lompoc,US,34.6391,-120.4579,61.79,88.0,0.0,4.61,clear sky
Dera Bugti,PK,29.0307,69.151,56.03,57.0,9.0,6.02,clear sky
Lawton,US,34.6087,-98.3903,26.13,36.0,0.0,11.5,clear sky
Cabedelo,BR,-6.9811,-34.8339,79.47,80.0,21.0,8.93,light rain
Guaratinga,BR,-16.5667,-39.5667,74.07,94.0,0.0,2.15,clear sky
Vanderhoof,CA,54.0166,-124.0198,37.36,76.0,3.0,12.59,clear sky
Atbasar,KZ,51.8,68.3333,-0.33,93.0,97.0,7.02,overcast clouds
Torbay,CA,47.6666,-52.7314,44.58,94.0,100.0,19.57,light rain
Ulaanbaatar,MN,47.9077,106.8832,-12.87,77.0,64.0,0.0,smoke
Portland,US,45.5234,-122.6762,50.85,82.0,75.0,1.99,broken clouds
Lulea,SE,65.5842,22.1547,24.87,74.0,0.0,16.11,clear sky
Severo-Kurilsk,RU,50.6789,156.125,31.42,80.0,100.0,26.28,light snow
Rocky Mountain House,CA,52.3668,-114.9188,35.71,55.0,21.0,6.91,few clouds
Mar Del Plata,AR,-38.0023,-57.5575,72.09,99.0,100.0,3.0,mist
Kvarkeno,RU,52.0833,59.725,-10.91,100.0,94.0,2.28,overcast clouds
Srandakan,ID,-7.9386,110.2506,78.13,82.0,100.0,2.66,overcast clouds
Opuwo,NA,-18.0607,13.84,66.58,78.0,100.0,2.04,light rain
Baykit,RU,61.67,96.37,-8.34,100.0,98.0,1.01,overcast clouds
Tekirdag,TR,40.978,27.5085,42.15,86.0,13.0,6.76,few clouds
Hithadhoo,MV,-0.6,73.0833,81.88,73.0,100.0,7.38,overcast clouds
Tabou,CI,4.423,-7.3528,77.29,78.0,45.0,0.54,scattered clouds
Berlevag,NO,70.8578,29.0864,27.54,75.0,100.0,26.57,light snow
Kangaba,ML,11.9333,-8.4167,68.23,17.0,11.0,5.5,few clouds
Tahlequah,US,35.9154,-94.97,22.05,49.0,0.0,0.0,clear sky
Ishigaki,JP,24.3448,124.1572,66.33,68.0,75.0,19.57,broken clouds
Canatlan,MX,24.5167,-104.7833,57.33,38.0,100.0,14.36,overcast clouds
Mount Isa,AU,-20.7333,139.5,83.97,61.0,100.0,13.8,light rain
Oranjemund,NA,-28.55,16.4333,66.52,81.0,10.0,9.08,clear sky
College,US,64.8569,-147.8028,3.22,79.0,75.0,5.75,broken clouds
Hualmay,PE,-11.0964,-77.6139,70.97,87.0,96.0,10.07,overcast clouds
Kavieng,PG,-2.5744,150.7967,82.58,73.0,100.0,3.11,light rain
Carira,BR,-10.3608,-37.7011,72.03,91.0,0.0,4.94,clear sky
Saint-Pierre,RE,-21.3393,55.4781,76.68,88.0,40.0,4.61,scattered clouds
Sao Joao Da Barra,BR,-21.6403,-41.0511,75.76,87.0,0.0,7.96,clear sky
Dingle,PH,10.9995,122.6711,81.95,74.0,89.0,12.01,overcast clouds
Fairbanks,US,64.8378,-147.7164,3.24,79.0,75.0,10.36,broken clouds
Cidreira,BR,-30.1811,-50.2056,76.93,91.0,3.0,15.01,clear sky
Pisco,PE,-13.7,-76.2167,68.02,92.0,67.0,6.29,broken clouds
Rajapalaiyam,IN,9.45,77.5667,71.26,80.0,100.0,1.92,overcast clouds
Egvekinot,RU,66.3167,-179.1667,-12.32,73.0,0.0,17.87,clear sky
Arraial Do Cabo,BR,-22.9661,-42.0278,75.79,89.0,20.0,13.96,few clouds
Ust-Koksa,RU,50.2696,85.6108,-5.53,96.0,64.0,0.94,broken clouds
Rawlins,US,41.7911,-107.2387,32.22,47.0,100.0,9.22,overcast clouds
Upington,ZA,-28.4478,21.2561,71.98,83.0,0.0,2.3,clear sky
Moerai,PF,-22.4333,-151.3333,77.25,74.0,100.0,15.68,light rain
Riyadh,SA,24.6877,46.7219,41.14,48.0,0.0,15.37,clear sky
Mackay,AU,-21.15,149.2,80.69,77.0,71.0,20.58,broken clouds
Rio Gallegos,AR,-51.6226,-69.2181,60.85,63.0,40.0,27.63,scattered clouds
Alofi,NU,-19.0595,-169.9187,84.09,70.0,75.0,17.27,broken clouds
Araouane,ML,18.9048,-3.5265,60.6,22.0,12.0,9.48,few clouds
Mahebourg,MU,-20.4081,57.7,81.25,94.0,75.0,12.66,broken clouds
Mugumu,TZ,-1.85,34.7,59.61,94.0,100.0,2.66,light rain
Biak,ID,-0.9131,122.8766,82.33,71.0,78.0,0.96,broken clouds
Hami,CN,42.8,93.45,27.63,42.0,100.0,4.34,overcast clouds
Vicuna,CL,-30.0319,-70.7081,53.33,43.0,0.0,0.81,clear sky
Mareeba,AU,-17.0,145.4333,82.49,78.0,100.0,8.12,overcast clouds
Yumen,CN,40.2833,97.2,21.24,47.0,1.0,0.85,clear sky
Rawson,AR,-43.3002,-65.1023,61.09,94.0,75.0,2.3,broken clouds
Walvis Bay,NA,-22.9575,14.5053,70.09,88.0,100.0,2.3,overcast clouds
Dongying,CN,37.4564,118.4856,29.68,56.0,17.0,5.99,few clouds
The Valley,AI,18.217,-63.0578,78.66,71.0,0.0,23.73,clear sky
Islamkot,PK,24.6997,70.177,66.87,88.0,0.0,7.58,clear sky
Markova,UA,48.6758,24.4138,22.23,71.0,20.0,14.09,few clouds
Thompson,CA,55.7435,-97.8558,-3.84,71.0,100.0,9.22,overcast clouds
Los Llanos De Aridane,ES,28.6585,-17.9182,58.75,87.0,0.0,7.0,clear sky
Tsaratanana,MG,-16.7833,47.65,72.07,97.0,100.0,1.41,moderate rain
Jackson,US,42.4165,-122.8345,51.8,82.0,20.0,0.0,few clouds
Pedasi,PA,7.5333,-80.0333,75.07,75.0,7.0,21.54,clear sky
Necochea,AR,-38.5473,-58.7368,71.04,89.0,97.0,19.01,overcast clouds
Bilecik,TR,40.0,30.1667,21.88,80.0,26.0,10.74,scattered clouds
Bandrele,YT,-12.9067,45.1914,78.55,83.0,75.0,11.5,light rain
Kaeo,NZ,-35.1,173.7833,79.32,43.0,33.0,5.1,scattered clouds
Fortuna,US,40.5982,-124.1573,52.32,94.0,100.0,1.01,overcast clouds
Millinocket,US,45.6573,-68.7098,5.11,66.0,0.0,11.5,clear sky
Berezovyy,RU,51.6667,135.7,3.4,79.0,6.0,2.13,clear sky
Owase,JP,34.0667,136.2,41.2,51.0,97.0,8.99,overcast clouds
Katherine,AU,-14.4667,132.2667,91.72,55.0,40.0,3.44,scattered clouds
Pinhao,BR,-25.6956,-51.6597,64.58,87.0,16.0,1.81,few clouds
Yar-Sale,RU,66.8333,70.8333,12.7,89.0,99.0,21.52,overcast clouds
Beringovskiy,RU,63.05,179.3167,-13.23,78.0,6.0,13.44,clear sky
Touros,BR,-5.1989,-35.4608,81.5,73.0,62.0,8.9,broken clouds
Peniche,PT,39.3558,-9.3811,50.45,64.0,0.0,5.35,clear sky
Chuy,UY,-33.6971,-53.4616,74.7,95.0,38.0,10.33,scattered clouds
Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,84.0,7.0,14.92,clear sky
Salinopolis,BR,-0.6136,-47.3561,78.94,85.0,9.0,10.02,clear sky
Kaitangata,NZ,-46.2817,169.8464,64.92,66.0,94.0,10.76,overcast clouds
Roald,NO,62.5833,6.1333,37.45,93.0,100.0,10.36,light rain
Gornopravdinsk,RU,60.05,69.9,14.02,93.0,100.0,8.52,overcast clouds
Anadyr,RU,64.75,177.4833,-34.01,65.0,20.0,4.47,few clouds
San Vicente,AR,-26.6167,-54.1333,73.31,65.0,2.0,2.55,clear sky
Faanui,PF,-16.4833,-151.75,81.59,74.0,100.0,18.79,overcast clouds
Merida,MX,20.9667,-89.6167,76.01,69.0,20.0,4.61,few clouds
